,Country,WS_MDG,WUE_SDG,WS_SDG,Temp,Rain,IRWR,ERWR,TRWR,Dep_ratio,HDI,r_u,r_u_access,pop_growth,mort_rate,GDP_pcp,life_ex
82,JOR,96.4354322305,34.9820439571,100.0775279654,19.926929034246577,103.37266000000001,0.682,0.255,0.937,0.272145144076841,0.722,0.1019684674938512,0.943762781186094,3.8,15.2,10013.4,74.0
85,KEN,13.1335504886,10.5512866833,33.2399010717,25.464064452054792,717.8869500000001,20.7,10.0,30.7,0.32573289902280134,0.574,2.7647568842785515,0.696078431372549,2.5,35.8,3829.0,64.6
86,KGZ,32.6318909306,0.836195637,50.0389559797,3.621338931506849,424.7566075,48.93,-25.312,23.618,-1.0717249555423831,0.671,1.7673823267260784,0.8914167528438469,2.0,20.0,4823.4,70.6
87,KHM,0.4587271582,6.9997469468,1.0365448505,27.72929801369863,1832.227465,120.6,355.5,476.1,0.7466918714555765,0.578,3.3516097590153437,0.691,1.58,27.4,3552.4,68.6
89,KOR,41.8895265423,52.4450097826,85.2218330414,9.271654671232877,2200.86473,64.85,4.85,69.69999999999999,0.06958393113342899,0.904,0.2269418580898504,0.8816449348044133,0.45999999999999996,3.0,38959.4,82.0
90,KWT,3850.5,102.4355359609,3850.5,26.466626027397258,94.38345749999999,0.0,0.02,0.02,1.0,0.809,0.0,1.0,3.8400000000000007,7.6,55208.0,75.0
91,LAO,2.1949025487,1.7460735068,4.7718383312,24.176330342465754,1765.512565,190.4,143.1,333.5,0.4290854572713643,0.602,1.909716052619744,0.810747663551402,1.52,42.2,6546.6,66.6
94,LBY,817.1428571429,3.7931078666,817.1428571429,23.137069178082193,33.59811,0.7,0.0,0.7,0.0,0.704,0.2528600833600135,0.9472954230235784,0.9199999999999999,11.4,12642.6,72.2
96,LKA,24.5189393939,5.8144642479,90.7854137447,27.470805684931506,1651.1756900000003,52.8,0.0,52.8,0.0,0.776,4.439433850572735,0.9644670050761421,0.9600000000000002,7.8,11836.0,76.2
98,LTU,1.0571428571,147.5173016098,1.8673395818,7.983208767123288,651.181775,15.46,9.04,24.5,0.3689795918367347,0.866,0.4811409660453859,0.9067201604814443,-1.1,4.0,31032.8,74.6
99,LUX,1.3028571429,1221.0610259114,3.7810945274,10.352624739726028,912.529675,1.0,2.5,3.5,0.7142857142857143,0.908,0.10220609348788709,1.0,2.3400000000000003,2.0,110631.0,82.2
100,LVA,0.5183171151,132.4173945525,1.0671773718,7.390989356164384,645.002565,16.94,18.0,34.94,0.5151688609044076,0.849,0.46897231384970556,0.9849699398797596,-0.9199999999999999,4.4,26472.4,74.4
101,MAR,36.4586206897,8.4352958172,50.7512120194,18.529926589041096,264.26895,29.0,0.0,29.0,0.0,0.675,0.6152969971303057,0.6616008105369807,1.3599999999999999,22.0,7059.8,75.6
102,MDA,6.8459657702,7.5993227595,12.474012474,11.204427657534247,525.2204575,1.62,10.65,12.27,0.8679706601466993,0.709,1.3497996307568094,0.8400412796697626,-0.925,13.4,10617.2,71.4
103,MDG,4.0228189911,0.7432732849,11.3446861925,22.810314109589036,1380.064495,337.0,0.0,337.0,0.0,0.518,1.7380690168406232,0.4325980392156863,2.7,41.0,1554.0,65.6
105,MEX,19.0175973396,12.9355720687,32.9497201674,21.443108972602744,827.588575,409.0,52.888,461.888,0.11450394900928364,0.765,0.25208258870834915,0.9475308641975307,1.24,14.0,19246.2,75.0
107,MLI,4.3216666667,1.721866725,8.0030864198,29.08437616438356,327.343455,60.0,60.0,120.0,0.5,0.426,1.4054664420074652,0.6642487046632124,2.94,67.2,2131.8,57.6
108,MLT,85.1485148515,164.7435093469,85.1485148515,19.952619383561643,391.02576,0.0505,0.0,0.0505,0.0,0.883,0.05768687843235454,1.0,2.16,6.0,37974.4,82.0
109,MMR,2.8456071245,1.7725209707,5.8015013966,23.35110089041096,1933.6514750000001,1002.8,165.0,1167.8,0.1412913170063367,0.577,2.297925926722368,0.8025889967637541,0.7400000000000001,40.8,4253.0,65.8
111,MNG,1.3287356322,22.2555906908,3.3950073421,1.1602792260273973,232.33937499999996,34.8,0.0,34.8,0.0,0.729,0.4627757881870627,0.891566265060241,1.9600000000000002,17.4,10927.8,69.2
